###############################################
## SELF-CONSISTENT PROTEIN DOMAIN ##
## CLASSIFICATION OF STRUCTURES ##
## For Step 2111 at similarity 6.78 ##
############################################### 
## EVOLUTIVE NETWORK ##
## FROM SIMILARITY 6.78 TO 4 ## 	
###############################################
# More details at: 
# Pascual-García A, Abia D, Ortiz ÁR, Bastolla U, 2009
# Cross-Over between Discrete and Continuous Protein Structure Space: Insights into Automatic Classification and Networks of Protein Structures
# PLoS Comput Biol 5(3): e1000331. doi:10.1371/journal.pcbi.1000331
###############################################
# ***** Set Features:	 #
# * Alignment: Mammoth Multiple.	 #
# * Similarity Score: Contact Overlap 6 #
# * Score Length Normalization: Gaussian #
# * Clustering: Average Linkage	 # 
# * Set: SCOP-CATH Consensus (2890 domains) #
# ***** #
############################################### 
#
# 
# Link Code Meaning:
# Link=1 There is a superfamily relation for SCOP
# Link=2 There is a superfamily relation for CATH
# Link=3 There is a superfamily relation for both SCOP and CATH
#
#Similarity IdClusterA IdClusterB LinkCode 
6.31196 Clus>156 Clus>298 3
6.51701 Clus>156 Clus>310 3
4.21234 Clus>156 Clus>365 2
3.73113 Clus>156 Clus>383 3
3.36823 Clus>156 Clus>634 1
4.96727 Clus>156 Clus>635 3
5.20049 Clus>156 Clus>636 3
4.97497 Clus>156 Clus>637 3
2.44233 Clus>160 Clus>469 3
2.12337 Clus>160 Clus>470 3
3.48356 Clus>161 Clus>234 2
5.91459 Clus>163 Clus>335 2
3.53580 Clus>163 Clus>438 3
5.12855 Clus>167 Clus>640 3
3.29756 Clus>176 Clus>224 1
2.65847 Clus>176 Clus>418 1
5.07549 Clus>176 Clus>451 1
2.72056 Clus>176 Clus>452 1
3.65686 Clus>176 Clus>453 1
2.50361 Clus>176 Clus>454 1
1.14097 Clus>176 Clus>459 1
4.88381 Clus>185 Clus>235 3
3.75898 Clus>185 Clus>339 3
1.51408 Clus>185 Clus>357 3
1.96480 Clus>185 Clus>385 3
2.43548 Clus>185 Clus>416 3
1.01100 Clus>185 Clus>523 3
5.87108 Clus>186 Clus>298 3
5.15867 Clus>186 Clus>310 3
3.56395 Clus>186 Clus>383 3
1.66470 Clus>186 Clus>634 1
4.39573 Clus>186 Clus>635 3
1.45460 Clus>186 Clus>636 3
3.48313 Clus>186 Clus>637 3
5.94802 Clus>187 Clus>320 3
6.17073 Clus>187 Clus>366 3
5.19147 Clus>188 Clus>220 3
4.39227 Clus>188 Clus>272 3
3.11292 Clus>188 Clus>328 3
4.31433 Clus>188 Clus>351 1
3.72470 Clus>191 Clus>261 2
2.23114 Clus>191 Clus>270 3
2.78974 Clus>191 Clus>663 3
5.39455 Clus>191 Clus>664 3
2.19313 Clus>191 Clus>665 3
2.31800 Clus>191 Clus>666 3
1.60079 Clus>191 Clus>667 3
1.71353 Clus>191 Clus>668 1
1.24931 Clus>191 Clus>669 1
5.78333 Clus>193 Clus>324 3
2.35186 Clus>194 Clus>204 3
5.34395 Clus>194 Clus>250 3
6.71877 Clus>194 Clus>426 3
5.48190 Clus>194 Clus>701 3
3.13310 Clus>194 Clus>702 1
4.06309 Clus>198 Clus>301 1
3.53925 Clus>198 Clus>337 1
2.86280 Clus>198 Clus>358 1
3.52800 Clus>198 Clus>398 1
4.42768 Clus>198 Clus>401 1
1.27673 Clus>198 Clus>411 1
2.21450 Clus>198 Clus>674 1
1.58340 Clus>198 Clus>675 1
3.92007 Clus>199 Clus>218 2
5.98607 Clus>199 Clus>271 2
2.78785 Clus>199 Clus>303 2
3.75730 Clus>199 Clus>606 2
1.56855 Clus>199 Clus>607 2
4.98439 Clus>204 Clus>250 3
4.92533 Clus>204 Clus>426 3
5.10990 Clus>204 Clus>701 3
1.41382 Clus>204 Clus>702 1
4.57750 Clus>205 Clus>321 1
5.71421 Clus>206 Clus>352 2
4.94275 Clus>211 Clus>713 3
6.48886 Clus>214 Clus>232 1
6.61743 Clus>214 Clus>335 1
0.820637 Clus>217 Clus>434 1
1.07910 Clus>217 Clus>479 1
1.60215 Clus>217 Clus>480 1
6.25515 Clus>217 Clus>481 3
5.26791 Clus>218 Clus>271 3
6.13606 Clus>218 Clus>303 3
3.72782 Clus>218 Clus>338 1
5.35052 Clus>218 Clus>386 1
5.19447 Clus>218 Clus>394 1
4.40260 Clus>218 Clus>606 3
2.71052 Clus>218 Clus>607 2
4.01212 Clus>220 Clus>272 3
6.02772 Clus>220 Clus>328 3
6.31536 Clus>222 Clus>359 3
2.51327 Clus>224 Clus>418 1
2.22360 Clus>224 Clus>451 1
4.31610 Clus>224 Clus>452 1
3.83705 Clus>224 Clus>453 1
3.20855 Clus>224 Clus>454 3
0.894250 Clus>224 Clus>459 1
6.54438 Clus>228 Clus>629 2
4.64987 Clus>229 Clus>592 3
2.59622 Clus>229 Clus>593 3
3.05578 Clus>231 Clus>253 3
4.01465 Clus>231 Clus>778 1
4.29382 Clus>235 Clus>339 3
